,0,1,2,3
0,0.86,0.046,0.079,0.015
1,0.833,0.013,0.044,0.111
2,0.824,0.016,0.026,0.134
3,0.833,0.043,0.048,0.077
4,0.983,0.005,0.006,0.006
5,0.802,0.002,0.1,0.096
6,0.874,0.037,0.001,0.088
7,0.864,0.037,0.063,0.036
8,0.849,0.012,0.026,0.113
9,0.971,0.003,0.007,0.018
10,0.902,0.02,0.073,0.005
11,0.858,0.039,0.042,0.061
12,0.906,0.016,0.062,0.017
13,0.848,0.044,0.046,0.062
14,0.806,0.012,0.061,0.121
15,0.914,0.005,0.026,0.056
16,0.889,0.003,0.084,0.024
17,0.833,0.047,0.095,0.026
18,0.843,0.041,0.039,0.078
19,0.822,0.031,0.042,0.106
20,0.865,0.023,0.055,0.057
21,0.877,0.009,0.081,0.033
22,0.855,0.049,0.039,0.057
23,0.951,0.008,0.029,0.012
24,0.891,0.02,0.085,0.004
25,0.818,0.003,0.073,0.107
26,0.939,0.031,0.02,0.01
27,0.854,0.02,0.018,0.108
28,0.832,0.025,0.064,0.079
29,0.905,0.003,0.058,0.034
30,0.805,0.009,0.061,0.125
31,0.986,0.003,0.007,0.004
32,0.855,0.025,0.091,0.029
33,0.968,0.004,0.027,0.001
34,0.875,0.007,0.077,0.04
35,0.851,0.047,0.063,0.038
36,0.813,0.048,0.076,0.063
37,0.809,0.045,0.078,0.068
38,0.953,0.017,0.027,0.003
39,0.848,0.019,0.072,0.061
40,0.891,0.016,0.066,0.027
41,0.947,0.029,0.017,0.007
42,0.948,0.003,0.017,0.033
43,0.847,0.019,0.061,0.073
44,0.824,0.014,0.034,0.129
45,0.853,0.028,0.067,0.052
46,0.819,0.036,0.015,0.13
47,0.926,0.039,0.006,0.03
48,0.827,0.026,0.041,0.106
49,0.87,0.008,0.095,0.028
50,0.826,0.022,0.085,0.067
51,0.912,0.044,0.008,0.036
52,0.954,0.008,0.001,0.037
53,0.823,0.035,0.034,0.108
54,0.903,0.047,0.002,0.049
55,0.901,0.047,0.033,0.018
56,0.899,0.0,0.03,0.07
57,0.8,0.01,0.062,0.129
58,0.849,0.007,0.035,0.109
59,0.899,0.002,0.001,0.098
60,0.814,0.044,0.097,0.044
61,0.919,0.001,0.078,0.002
62,0.855,0.022,0.071,0.051
63,0.84,0.021,0.079,0.06
64,0.865,0.02,0.093,0.022
65,0.861,0.044,0.093,0.001
66,0.84,0.016,0.03,0.115
67,0.856,0.026,0.071,0.048
68,0.958,0.003,0.002,0.037
69,0.864,0.016,0.097,0.023
70,0.848,0.026,0.019,0.107
71,0.812,0.023,0.07,0.094
72,0.943,0.036,0.006,0.016
73,0.83,0.004,0.04,0.126
74,0.842,0.022,0.024,0.112
75,0.829,0.031,0.096,0.044
76,0.845,0.01,0.099,0.047
77,0.853,0.022,0.0,0.124
78,0.937,0.038,0.013,0.012
79,0.803,0.04,0.09,0.067
80,0.957,0.0,0.036,0.007
81,0.845,0.03,0.007,0.118
82,0.833,0.023,0.095,0.049
83,0.815,0.028,0.085,0.072
84,0.923,0.047,0.007,0.022
85,0.917,0.049,0.016,0.018
86,0.806,0.031,0.094,0.068
87,0.951,0.04,0.005,0.004
88,0.802,0.026,0.039,0.133
89,0.93,0.048,0.019,0.003
