,0,1,2,3
0,0.877,0.041,0.015,0.067
1,0.814,0.049,0.015,0.122
2,0.872,0.029,0.085,0.013
3,0.879,0.029,0.021,0.071
4,0.872,0.008,0.05,0.07
5,0.966,0.011,0.01,0.014
6,0.892,0.014,0.034,0.06
7,0.894,0.008,0.012,0.086
8,0.881,0.034,0.084,0.001
9,0.878,0.03,0.057,0.035
10,0.933,0.013,0.053,0.001
11,0.914,0.016,0.035,0.035
12,0.975,0.011,0.005,0.009
13,0.897,0.009,0.006,0.087
14,0.914,0.013,0.041,0.033
15,0.905,0.017,0.028,0.05
16,0.969,0.006,0.013,0.012
17,0.921,0.03,0.011,0.039
18,0.81,0.013,0.07,0.107
19,0.894,0.039,0.058,0.008
20,0.873,0.04,0.056,0.032
21,0.978,0.014,0.007,0.001
22,0.909,0.021,0.067,0.003
23,0.819,0.016,0.026,0.139
24,0.849,0.033,0.038,0.08
25,0.827,0.008,0.05,0.115
26,0.859,0.038,0.08,0.023
27,0.819,0.034,0.046,0.101
28,0.881,0.025,0.009,0.085
29,0.824,0.016,0.026,0.134
30,0.862,0.028,0.029,0.081
31,0.833,0.018,0.078,0.071
32,0.916,0.007,0.007,0.07
33,0.938,0.013,0.043,0.006
34,0.889,0.038,0.029,0.043
35,0.942,0.007,0.014,0.037
36,0.86,0.027,0.055,0.059
37,0.86,0.046,0.079,0.015
38,0.891,0.023,0.076,0.011
39,0.853,0.035,0.082,0.031
40,0.983,0.005,0.006,0.006
41,0.833,0.013,0.044,0.111
42,0.833,0.043,0.048,0.077
43,0.902,0.02,0.073,0.005
44,0.802,0.002,0.1,0.096
45,0.874,0.037,0.001,0.088
46,0.848,0.044,0.046,0.062
47,0.864,0.037,0.063,0.036
48,0.858,0.039,0.042,0.061
49,0.833,0.047,0.095,0.026
50,0.914,0.005,0.026,0.056
51,0.889,0.003,0.084,0.024
52,0.854,0.02,0.018,0.108
53,0.865,0.023,0.055,0.057
54,0.855,0.049,0.039,0.057
55,0.818,0.003,0.073,0.107
56,0.877,0.009,0.081,0.033
57,0.986,0.003,0.007,0.004
58,0.813,0.048,0.076,0.063
59,0.968,0.004,0.027,0.001
60,0.851,0.047,0.063,0.038
61,0.824,0.014,0.034,0.129
62,0.848,0.019,0.072,0.061
63,0.953,0.017,0.027,0.003
64,0.926,0.039,0.006,0.03
65,0.826,0.022,0.085,0.067
66,0.853,0.028,0.067,0.052
67,0.891,0.016,0.066,0.027
68,0.901,0.047,0.033,0.018
69,0.849,0.007,0.035,0.109
70,0.8,0.01,0.062,0.129
71,0.84,0.021,0.079,0.06
72,0.84,0.016,0.03,0.115
73,0.865,0.02,0.093,0.022
74,0.943,0.036,0.006,0.016
75,0.958,0.003,0.002,0.037
76,0.842,0.022,0.024,0.112
77,0.829,0.031,0.096,0.044
78,0.803,0.04,0.09,0.067
79,0.957,0.0,0.036,0.007
80,0.833,0.023,0.095,0.049
81,0.815,0.028,0.085,0.072
82,0.845,0.03,0.007,0.118
83,0.923,0.047,0.007,0.022
84,0.951,0.04,0.005,0.004
85,0.93,0.048,0.019,0.003
