,PA-56,PhA,Mel,THAM,CS,BN,ZnBO,CaBO,HNT
0,83.7,4.2,3.5,1.6,0.0,0.0,7.0,0.0,0.0
1,84.6,0.7,0.0,9.2,0.0,0.0,0.0,0.0,5.5
2,80.6,2.7,2.2,0.0,0.6,0.0,13.9,0.0,0.0
3,83.3,0.0,0.0,5.9,0.0,0.0,0.0,0.0,10.8
4,81.6,4.8,5.9,0.0,4.0,0.0,3.7,0.0,0.0
5,83.0,2.4,0.0,3.2,4.4,0.0,0.0,7.0,0.0
6,83.4,0.5,0.0,0.0,2.2,0.0,0.0,13.9,0.0
7,82.6,1.6,3.1,0.0,0.0,0.0,12.7,0.0,0.0
8,83.4,0.8,4.8,2.2,0.0,0.0,0.0,8.8,0.0
9,80.3,2.3,4.2,3.6,0.0,0.0,0.0,9.6,0.0
10,81.4,1.0,0.0,8.8,0.0,0.0,8.8,0.0,0.0
11,82.7,1.0,4.6,4.7,0.0,0.0,0.0,7.0,0.0
12,81.0,0.9,0.0,0.0,7.4,0.0,10.7,0.0,0.0
13,81.7,4.4,0.0,0.0,0.0,5.1,0.0,0.0,8.8
14,82.8,2.0,0.0,0.0,0.0,4.6,10.6,0.0,0.0
