,PA56,PhA,MEL,THAM,CS,BN,ZnBO,CABO,HNT
0,0.902,0.024,0.0,0.0,0.01999999999999989,0.0,0.0,0.054,0.0
1,0.859,0.044,0.0,0.0,0.041,0.0,0.05599999999999989,0.0,0.0
2,0.975,0.01,0.0,0.0,0.0,0.004,0.011,0.0,0.0
3,0.906,0.027,0.014,0.0,0.024,0.0,0.0,0.029,0.0
4,0.933,0.019,0.004,0.0,0.001,0.0,0.0,0.042999999999999886,0.0
5,0.937,0.021,0.0,0.0,0.0,0.003999999999999888,0.0,0.0,0.038
6,0.863,0.006,0.0,0.024,0.031,0.0,0.0,0.076,0.0
7,0.909,0.014,0.039,0.0,0.0,0.0,0.0,0.038,0.0
8,0.912,0.009,0.0,0.0,0.034999999999999885,0.0,0.0,0.044,0.0
9,0.862,0.038,0.0,0.008,0.0,0.0,0.0,0.0,0.092
10,0.9049999999999999,0.024,0.0,0.0,0.0,0.011,0.0,0.0,0.06
11,0.973,0.014,0.0,0.0,0.012,0.0,0.001,0.0,0.0
12,0.904,0.004,0.012,0.0,0.054,0.0,0.026,0.0,0.0
13,0.8500000000000001,0.01,0.0,0.059,0.0,0.0,0.0,0.081,0.0
14,0.91,0.012,0.014,0.0,0.013,0.0,0.051,0.0,0.0
15,0.873,0.045,0.0,0.027,0.019,0.0,0.036,0.0,0.0
16,0.824,0.016,0.065,0.028,0.0,0.0,0.0,0.067,0.0
17,0.964,0.005,0.0,0.0,0.019,0.0,0.0,0.0,0.012
18,0.89,0.012,0.028,0.0,0.0,0.0,0.07,0.0,0.0
19,0.82,0.044,0.0,0.003,0.002,0.0,0.0,0.131,0.0
20,0.9,0.019,0.0,0.0,0.058,0.0,0.0,0.023,0.0
21,0.816,0.03,0.0,0.0,0.076,0.0,0.078,0.0,0.0
22,0.938,0.007,0.009,0.0,0.007,0.0,0.0,0.039,0.0
23,0.94,0.018,0.0,0.003,0.001,0.0,0.0,0.0,0.038
24,0.821,0.04,0.034,0.042,0.0,0.0,0.0,0.0,0.063
25,0.855,0.036,0.0,0.019,0.0,0.0,0.0,0.0,0.09
26,0.862,0.048,0.002,0.002,0.0,0.0,0.0,0.0,0.086
27,0.911,0.028,0.0,0.04,0.021,0.0,0.0,0.0,0.0
28,0.892,0.048,0.0,0.025,0.018,0.0,0.0,0.0,0.017
29,0.817,0.031,0.016,0.0,0.051,0.0,0.0,0.0,0.085
30,0.913,0.017,0.0,0.0,0.0,0.069,0.0,0.0,0.001
31,0.857,0.03,0.0,0.0,0.034,0.0,0.0,0.0,0.079
32,0.939,0.009,0.013,0.0,0.0,0.0,0.0,0.0,0.039
33,0.977,0.005,0.0,0.002000000000000001,0.0,0.0,0.0,0.0,0.016
34,0.904,0.013,0.015,0.0,0.0,0.0,0.068,0.0,0.0
35,0.877,0.038,0.051,0.025,0.0,0.0,0.0,0.0,0.009
36,0.828,0.017,0.093,0.0,0.0,0.0,0.0,0.062,0.0
37,0.95,0.013,0.0,0.0,0.023,0.0,0.014,0.0,0.0
38,0.859,0.013,0.0,0.0,0.0,0.079,0.0,0.0,0.049
39,0.879,0.026,0.0,0.0,0.0,0.081,0.0,0.014,0.0
40,0.918,0.04,0.0,0.0,0.039,0.0,0.003,0.0,0.0
41,0.938,0.004,0.055,0.0,0.0,0.0,0.0,0.003,0.0
42,0.861,0.034,0.0,0.0,0.08100000000000011,0.0,0.0,0.0,0.024
43,0.89,0.006,0.0,0.0,0.015,0.0,0.0,0.0,0.089
44,0.98,0.002,0.012,0.0,0.0,0.0,0.006,0.0,0.0
45,0.921,0.003,0.07,0.0,0.0,0.0,0.0,0.0,0.006
46,0.854,0.027,0.0,0.0,0.0,0.028,0.091,0.0,0.0
47,0.952,0.005,0.0,0.0,0.0,0.02,0.023,0.0,0.0
48,0.905,0.032,0.0,0.0,0.0,0.062,0.001,0.0,0.0
49,0.854,0.012,0.0,0.09900000000000012,0.0,0.0,0.035,0.0,0.0
50,0.837,0.013,0.095,0.0,0.0,0.0,0.0,0.0,0.055
51,0.819,0.032,0.04,0.0,0.017,0.0,0.09199999999999989,0.0,0.0
52,0.828,0.025,0.0,0.0,0.064,0.0,0.083,0.0,0.0
