,PA56,PhA,MEL,THAM,CS,BN,ZnBO,CABO,HNT
0,0.922,0.023,0.009,0.0,0.00899999999999989,0.0,0.037,0.0,0.0
1,0.8929999999999999,0.007,0.038,0.0,0.0,0.0,0.0,0.062,0.0
2,0.901,0.023,0.0,0.0,0.0,0.028,0.0,0.0,0.048
3,0.916,0.008,0.0,0.0,0.01,0.0,0.066,0.0,0.0
4,0.874,0.049,0.024,0.0,0.015,0.0,0.0,0.0,0.038
5,0.84,0.044,0.0,0.0,0.016999999999999887,0.0,0.0,0.099,0.0
6,0.896,0.024,0.036,0.018,0.0,0.0,0.0,0.0,0.026
7,0.879,0.029,0.045,0.0,0.0,0.0,0.0,0.04699999999999989,0.0
8,0.817,0.048,0.0,0.008,0.005,0.0,0.0,0.122,0.0
9,0.834,0.03,0.021,0.0,0.024,0.0,0.0,0.091,0.0
10,0.873,0.027,0.085,0.0,0.0,0.0,0.015,0.0,0.0
11,0.868,0.05,0.0,0.0,0.0,0.069,0.0,0.013,0.0
12,0.89,0.03699999999999989,0.007,0.0,0.002,0.0,0.0,0.0,0.064
13,0.899,0.008,0.0,0.075,0.0,0.0,0.0,0.018,0.0
14,0.834,0.037,0.0,0.069,0.0,0.0,0.06,0.0,0.0
15,0.884,0.04,0.0,0.0,0.0,0.055,0.0,0.021,0.0
16,0.904,0.037,0.0,0.03899999999999989,0.0,0.0,0.02,0.0,0.0
17,0.828,0.005,0.0,0.09200000000000011,0.0,0.0,0.0,0.075,0.0
18,0.95,0.015,0.0,0.017,0.0,0.0,0.018,0.0,0.0
19,0.927,0.011,0.0,0.038,0.0,0.0,0.0,0.024,0.0
20,0.887,0.005,0.0,0.05900000000000011,0.0,0.0,0.0,0.0,0.049
21,0.853,0.011,0.0,0.0,0.061,0.0,0.0,0.0,0.075
22,0.819,0.005,0.045,0.0,0.036,0.0,0.0,0.095,0.0
23,0.815,0.038,0.04100000000000011,0.021,0.0,0.0,0.0,0.085,0.0
24,0.86,0.029,0.03,0.0,0.016,0.0,0.06499999999999989,0.0,0.0
25,0.937,0.024,0.0,0.0,0.0,0.005,0.0,0.0,0.03399999999999989
26,0.907,0.021,0.03500000000000011,0.026,0.0,0.0,0.0,0.0,0.011
27,0.905,0.009,0.0,0.048,0.002,0.0,0.0,0.0,0.036
28,0.834,0.046,0.039,0.058,0.0,0.0,0.0,0.0,0.023
29,0.885,0.02,0.0,0.041,0.028,0.0,0.026,0.0,0.0
30,0.865,0.047,0.0,0.006,0.0,0.0,0.0,0.0,0.082
31,0.833,0.046,0.049,0.0,0.0,0.0,0.0,0.072,0.0
32,0.878,0.041,0.0,0.019,0.007,0.0,0.0,0.055,0.0
33,0.839,0.011,0.028,0.021,0.0,0.0,0.0,0.0,0.101
34,0.873,0.008,0.0,0.0,0.092,0.0,0.0,0.0,0.027
35,0.93,0.03,0.0,0.016,0.018,0.0,0.0,0.00599999999999989,0.0
36,0.888,0.008,0.098,0.0,0.0,0.0,0.0,0.0,0.006
37,0.933,0.013,0.0,0.001,0.001,0.0,0.052,0.0,0.0
38,0.84,0.042,0.001,0.0,0.0,0.0,0.0,0.117,0.0
39,0.848,0.045,0.0,0.057,0.0,0.0,0.0,0.05,0.0
40,0.972,0.001,0.003,0.005,0.0,0.0,0.0,0.019,0.0
41,0.855,0.027,0.016,0.008,0.0,0.0,0.094,0.0,0.0
42,0.882,0.03799999999999989,0.046,0.0,0.028,0.0,0.0,0.006,0.0
43,0.963,0.005,0.0,0.01,0.017,0.0,0.0,0.0,0.005
44,0.906,0.037,0.0,0.0,0.024,0.0,0.03299999999999989,0.0,0.0
45,0.869,0.0,0.0,0.042,0.03,0.0,0.058999999999999886,0.0,0.0
46,0.877,0.023,0.0,0.021,0.0,0.0,0.0,0.079,0.0
47,0.817,0.048,0.035,0.042,0.0,0.0,0.058,0.0,0.0
48,0.812,0.018,0.042,0.02,0.0,0.0,0.0,0.0,0.108
49,0.829,0.0,0.0,0.0,0.056,0.0,0.0,0.0,0.115
50,0.876,0.001,0.0,0.0,0.054,0.0,0.0,0.0,0.069
51,0.898,0.0,0.004,0.004,0.0,0.0,0.094,0.0,0.0
52,0.834,0.014,0.0,0.0,0.023,0.0,0.129,0.0,0.0
53,0.953,0.015000000000000001,0.0,0.0,0.0,0.0,0.0,0.032,0.0
54,0.844,0.013,0.034,0.042,0.0,0.0,0.067,0.0,0.0
55,0.862,0.031,0.0,0.068,0.0,0.0,0.039,0.0,0.0
56,0.824,0.047,0.0,0.033,0.0,0.0,0.0,0.0,0.096
57,0.892,0.043999999999999886,0.0,0.0,0.0,0.06,0.0,0.004,0.0
58,0.851,0.028,0.063,0.0,0.0,0.0,0.058,0.0,0.0
59,0.847,0.049,0.012,0.0,0.013,0.0,0.0,0.0,0.079
60,0.903,0.018,0.002,0.0,0.002,0.0,0.0,0.075,0.0
61,0.801,0.002,0.0,0.0,0.0,0.087,0.0,0.0,0.11
62,0.948,0.0,0.01,0.009,0.0,0.0,0.033,0.0,0.0
63,0.941,0.008,0.0,0.016,0.029,0.0,0.0,0.006,0.0
64,0.805,0.039,0.0,0.012,0.007,0.0,0.0,0.1369999999999999,0.0
65,0.873,0.003,0.0,0.0,0.0,0.031,0.0,0.093,0.0
66,0.847,0.018,0.0,0.0,0.0,0.022,0.113,0.0,0.0
67,0.818,0.034,0.0,0.027,0.0,0.0,0.121,0.0,0.0
68,0.858,0.0,0.0,0.0,0.0,0.030000000000000002,0.0,0.0,0.112
69,0.927,0.002,0.045,0.0,0.024,0.0,0.0,0.002,0.0
70,0.831,0.018,0.0,0.0,0.0,0.07,0.081,0.0,0.0
71,0.855,0.014,0.032,0.049,0.0,0.0,0.0,0.05,0.0
72,0.913,0.0,0.0,0.0,0.004,0.0,0.083,0.0,0.0
73,0.861,0.002,0.003,0.002,0.0,0.0,0.0,0.132,0.0
74,0.843,0.029,0.038,0.047,0.0,0.0,0.043,0.0,0.0
75,0.804,0.034,0.037,0.0,0.014,0.0,0.111,0.0,0.0
76,0.876,0.022,0.003,0.001,0.0,0.0,0.0,0.098,0.0
77,0.989,0.007,0.002,0.0,0.0,0.0,0.0,0.0,0.002
78,0.81,0.049,0.047,0.0,0.051,0.0,0.0,0.0,0.043
79,0.827,0.041,0.04,0.046,0.0,0.0,0.0,0.0,0.046
80,0.855,0.021,0.0,0.057,0.03999999999999989,0.0,0.027,0.0,0.0
81,0.82,0.023,0.089,0.0,0.0,0.0,0.0,0.068,0.0
82,0.853,0.048,0.091,0.0,0.0,0.0,0.0,0.0,0.008
83,0.8049999999999999,0.035,0.0,0.0,0.084,0.0,0.076,0.0,0.0
84,0.8039999999999999,0.008,0.026,0.025,0.0,0.0,0.0,0.0,0.137
85,0.912,0.048,0.002,0.0,0.001,0.0,0.0,0.0,0.037
86,0.952,0.031,0.0,0.003,0.0,0.0,0.014,0.0,0.0
87,0.86,0.0,0.0,0.0,0.0,0.095,0.045,0.0,0.0
88,0.821,0.029,0.0,0.0,0.01,0.0,0.0,0.14,0.0
89,0.93,0.047,0.0,0.007,0.004,0.0,0.012,0.0,0.0
