,PA56,PhA,MEL,THAM,CS,BN,ZnBO,CABO,HNT
0,0.9,0.024,0.0,0.0,0.0,0.015000000000000001,0.0,0.061,0.0
1,0.926,0.014,0.0,0.02499999999999989,0.007,0.0,0.0,0.0,0.028
2,0.904,0.03299999999999989,0.025,0.0,0.018,0.0,0.02,0.0,0.0
3,0.891,0.006,0.019,0.0,0.02,0.0,0.0,0.064,0.0
4,0.864,0.044,0.0,0.022,0.0,0.0,0.07,0.0,0.0
5,0.837,0.042,0.035,0.016,0.0,0.0,0.07,0.0,0.0
6,0.804,0.047,0.0,0.009,0.001,0.0,0.0,0.139,0.0
7,0.898,0.03,0.028,0.0,0.0,0.0,0.0,0.0,0.043999999999999886
8,0.814,0.01,0.0,0.088,0.0,0.0,0.0880000000000001,0.0,0.0
9,0.964,0.004,0.0,0.0,0.0,0.009,0.0,0.023,0.0
10,0.907,0.007,0.0,0.0,0.0,0.043,0.0,0.043,0.0
11,0.929,0.028,0.0,0.001,0.001,0.0,0.041,0.0,0.0
12,0.886,0.046,0.055,0.0,0.0,0.0,0.0,0.0,0.013
13,0.906,0.008,0.0,0.0,0.002,0.0,0.0,0.0,0.084
14,0.858,0.005,0.0,0.041,0.02599999999999989,0.0,0.0,0.0,0.07
15,0.834,0.008,0.048,0.022,0.0,0.0,0.0,0.088,0.0
16,0.867,0.004,0.032,0.0,0.008,0.0,0.0,0.0,0.089
17,0.871,0.035,0.0,0.0,0.0,0.066,0.028,0.0,0.0
18,0.879,0.039,0.0,0.0,0.0,0.045,0.0,0.0,0.037
19,0.922,0.015,0.032,0.0,0.026,0.0,0.0,0.0,0.005
20,0.853,0.037,0.05,0.0,0.03599999999999989,0.0,0.0,0.024,0.0
21,0.848,0.043,0.0,0.0,0.0,0.004,0.0,0.0,0.105
22,0.887,0.042,0.0,0.0,0.003,0.0,0.0,0.0,0.068
23,0.93,0.014,0.0,0.0,0.0,0.0,0.0,0.0,0.056
24,0.822,0.042,0.0,0.0,0.07500000000000011,0.0,0.0,0.0,0.061
25,0.868,0.025,0.0,0.0,0.0,0.047,0.06,0.0,0.0
26,0.823,0.05,0.0,0.0,0.0,0.022,0.10500000000000011,0.0,0.0
27,0.88,0.005,0.0,0.0,0.088,0.0,0.027,0.0,0.0
28,0.827,0.01,0.046,0.047,0.0,0.0,0.0,0.07,0.0
29,0.865,0.037,0.0,0.09,0.0,0.0,0.0,0.0,0.008
30,0.881,0.005,0.0,0.0,0.001,0.0,0.113,0.0,0.0
31,0.879,0.041,0.0,0.0,0.025,0.0,0.0,0.0,0.055
32,0.835,0.041,0.035,0.0,0.0,0.0,0.0,0.0,0.089
33,0.834,0.005,0.0,0.0,0.022,0.0,0.0,0.139,0.0
34,0.92,0.032,0.012,0.0,0.011,0.0,0.025,0.0,0.0
35,0.887,0.004,0.0,0.059,0.0,0.0,0.0,0.0,0.05
36,0.913,0.007,0.0,0.0,0.077,0.0,0.0,0.0,0.003
37,0.9049999999999999,0.043,0.002,0.0,0.003,0.0,0.047,0.0,0.0
38,0.944,0.018,0.0,0.0,0.0,0.00700000000000011,0.0,0.0,0.031
39,0.816,0.048,0.059,0.0,0.04,0.0,0.037,0.0,0.0
40,0.817,0.044,0.0,0.0,0.0,0.051,0.0,0.0,0.088
41,0.853,0.049,0.0,0.051,0.0,0.0,0.0,0.047,0.0
42,0.917,0.001,0.019,0.0,0.0,0.0,0.0,0.0,0.063
43,0.859,0.049,0.0,0.0,0.006,0.0,0.0,0.086,0.0
44,0.891,0.021,0.037,0.036,0.0,0.0,0.0,0.015,0.0
45,0.833,0.0,0.0,0.059,0.0,0.0,0.0,0.0,0.108
46,0.876,0.001,0.0,0.0,0.049,0.0,0.0,0.0,0.074
47,0.969,0.018,0.0,0.0,0.008,0.0,0.005,0.0,0.0
48,0.871,0.013,0.071,0.0,0.0,0.0,0.0,0.045,0.0
49,0.862,0.002,0.006,0.0,0.002,0.0,0.0,0.128,0.0
50,0.921,0.001,0.0,0.029,0.019,0.0,0.0,0.0,0.03
51,0.902,0.035,0.03699999999999989,0.024,0.0,0.0,0.0,0.002,0.0
52,0.88,0.017,0.0,0.005,0.001,0.0,0.0,0.0,0.097
53,0.81,0.009,0.0,0.0,0.074,0.0,0.107,0.0,0.0
54,0.853,0.033,0.037,0.0,0.0,0.0,0.0,0.077,0.0
55,0.919,0.034,0.0,0.04199999999999989,0.005,0.0,0.0,0.0,0.0
56,0.882,0.044,0.074,0.0,0.0,0.0,0.0,0.0,0.0
57,0.833,0.034,0.0,0.0,0.006,0.0,0.127,0.0,0.0
58,0.846,0.018,0.0,0.045,0.0,0.0,0.0,0.0,0.091
59,0.828,0.02,0.0,0.0,0.0,0.046,0.106,0.0,0.0
60,0.9870000000000001,0.006,0.0,0.004,0.0,0.0,0.003,0.0,0.0
61,0.904,0.001,0.0,0.0,0.068,0.0,0.0,0.0,0.027
62,0.876,0.021,0.016,0.0,0.004,0.0,0.0,0.083,0.0
63,0.859,0.018,0.0,0.025,0.0,0.0,0.0,0.098,0.0
64,0.895,0.049,0.0,0.026,0.0,0.0,0.0,0.0,0.03
65,0.848,0.016,0.0,0.0,0.00200000000000011,0.0,0.0,0.134,0.0
66,0.945,0.001,0.007,0.002,0.0,0.0,0.045,0.0,0.0
67,0.851,0.029,0.037,0.0,0.036,0.0,0.047,0.0,0.0
68,0.815,0.03500000000000011,0.018,0.0,0.014,0.0,0.0,0.0,0.118
69,0.946,0.001,0.0,0.028,0.0,0.0,0.025,0.0,0.0
70,0.952,0.024,0.022,0.0,0.0,0.0,0.002,0.0,0.0
71,0.856,0.023,0.0,0.0,0.009,0.0,0.0,0.112,0.0
72,0.85,0.025,0.0,0.045,0.014,0.0,0.0,0.066,0.0
73,0.803,0.034,0.0,0.03,0.019,0.0,0.114,0.0,0.0
74,0.806,0.02,0.059,0.0,0.04,0.0,0.0,0.0,0.075
75,0.801,0.05,0.0,0.042,0.027,0.0,0.0,0.0,0.08
76,0.906,0.048,0.038,0.0,0.0,0.0,0.0,0.008,0.0
77,0.952,0.003,0.0,0.0,0.041,0.0,0.004,0.0,0.0
78,0.884,0.023,0.0,0.0,0.092,0.0,0.001,0.0,0.0
79,0.846,0.007,0.0,0.092,0.0,0.0,0.0,0.0,0.055
80,0.826,0.016,0.031,0.0,0.0,0.0,0.127,0.0,0.0
81,0.83,0.024,0.0,0.032,0.044,0.0,0.0,0.07,0.0
82,0.849,0.002,0.0,0.0,0.035,0.0,0.0,0.0,0.114
83,0.803,0.023,0.042,0.036,0.0,0.0,0.0,0.096,0.0
84,0.925,0.043,0.017,0.0,0.011,0.0,0.0,0.004,0.0
85,0.816,0.03,0.0,0.0,0.0,0.099,0.0,0.0,0.055
86,0.806,0.046,0.0,0.088,0.0,0.0,0.0,0.0,0.06
87,0.953,0.033,0.0,0.0,0.003,0.0,0.0,0.011,0.0
88,0.923,0.047,0.0,0.006,0.0,0.0,0.0,0.0,0.024
89,0.806,0.02699999999999989,0.022,0.0,0.006,0.0,0.139,0.0,0.0
