,0,1,2,3
0,0.84,0.045,0.039,0.076
1,0.882,0.044,0.021,0.053
2,0.909,0.006,0.056,0.03
3,0.892,0.03,0.023,0.054
4,0.918,0.025,0.039,0.018
5,0.884,0.033,0.031,0.051
6,0.898,0.027,0.019,0.056
7,0.861,0.013,0.052,0.074
8,0.832,0.017,0.079,0.073
9,0.832,0.037,0.04,0.091
10,0.882,0.039,0.06,0.02
11,0.841,0.043,0.05,0.066
12,0.88,0.035,0.015,0.07
13,0.817,0.041,0.055,0.087
14,0.968,0.006,0.015,0.012
15,0.904,0.013,0.047,0.036
16,0.826,0.042,0.004,0.128
17,0.835,0.004,0.073,0.087
18,0.886,0.029,0.019,0.066
19,0.867,0.045,0.002,0.086
20,0.894,0.044,0.038,0.024
21,0.841,0.01,0.051,0.098
22,0.886,0.038,0.041,0.035
23,0.919,0.014,0.052,0.015
24,0.864,0.012,0.034,0.089
25,0.825,0.045,0.058,0.073
26,0.898,0.017,0.07,0.015
27,0.931,0.012,0.012,0.045
28,0.927,0.014,0.004,0.055
29,0.935,0.007,0.015,0.044
30,0.847,0.006,0.08,0.067
31,0.807,0.044,0.019,0.129
32,0.942,0.014,0.018,0.026
33,0.888,0.009,0.059,0.044
34,0.936,0.004,0.022,0.038
35,0.934,0.002,0.028,0.037
36,0.808,0.017,0.065,0.109
37,0.916,0.035,0.022,0.027
38,0.977,0.008,0.012,0.003
39,0.98,0.007,0.004,0.009
40,0.88,0.028,0.074,0.019
41,0.976,0.005,0.001,0.019
42,0.88,0.029,0.004,0.087
43,0.943,0.023,0.012,0.022
44,0.917,0.003,0.047,0.034
45,0.895,0.038,0.021,0.046
46,0.856,0.019,0.049,0.076
47,0.884,0.016,0.058,0.042
48,0.895,0.017,0.016,0.072
49,0.946,0.027,0.013,0.015
50,0.832,0.049,0.032,0.088
51,0.892,0.044,0.058,0.006
52,0.93,0.002,0.017,0.051
53,0.936,0.029,0.006,0.028
54,0.94,0.0,0.038,0.022
55,0.839,0.039,0.009,0.113
56,0.894,0.003,0.059,0.044
57,0.935,0.009,0.005,0.051
58,0.875,0.013,0.02,0.092
59,0.863,0.029,0.058,0.051
60,0.95,0.003,0.032,0.015
61,0.813,0.03,0.073,0.085
62,0.843,0.016,0.042,0.098
63,0.954,0.009,0.037,0.0
64,0.8,0.05,0.096,0.054
65,0.869,0.018,0.027,0.085
66,0.812,0.022,0.086,0.08
67,0.807,0.044,0.095,0.055
68,0.805,0.036,0.067,0.092
69,0.866,0.037,0.081,0.017
70,0.851,0.023,0.044,0.081
71,0.817,0.043,0.029,0.111
72,0.856,0.025,0.069,0.05
73,0.831,0.027,0.048,0.094
74,0.846,0.041,0.086,0.028
75,0.809,0.033,0.086,0.071
76,0.805,0.035,0.053,0.107
77,0.803,0.007,0.099,0.091
78,0.852,0.014,0.027,0.107
79,0.955,0.031,0.01,0.003
80,0.852,0.025,0.09,0.033
81,0.849,0.002,0.093,0.056
82,0.814,0.001,0.047,0.139
83,0.828,0.018,0.032,0.122
84,0.851,0.007,0.012,0.13
85,0.928,0.044,0.01,0.018
86,0.824,0.03,0.095,0.051
87,0.926,0.043,0.0,0.031
88,0.855,0.003,0.007,0.135
89,0.835,0.007,0.024,0.134
