PA-56;HNT;PhA;CS;BN;THAM;CaBO;ZnBO;Mel;met-based;am-based
100;0;0;0;0;0;0;0;0;0,00;0,00
100;0;0;0;0;0;0;0;0;0,00;0,00
95;0;1,7;0;0;3,3;0;0;0;0,00;3,30
95;0;1,7;0;0;1,7;0;1,7;0;1,70;1,70
95;0;1,7;0;0;1,7;1,7;0;0;1,70;1,70
93;0;0;0;0;0;0;0;0;0,00;0,00
93;0;0;0;0;0;0;0;0;0,00;0,00
93;0;2,3;0;0;4,7;0;0;0;0,00;4,70
93;0;2,3;0;0;2,3;0;2,3;0;2,30;2,30
93;0;2,3;0;0;2,3;2,3;0;0;2,30;2,30
90;0;0;0;0;0;0;0;0;0,00;0,00
90;0;3,3;0;0;6,7;0;0;0;0,00;6,70
90;0;3,3;0;0;3,3;0;3,3;0;3,30;3,30
90;0;3,3;0;0;3,3;3,3;0,0;0;3,30;3,30
100;0;0;0;0;0;0;0;0;0,00;0,00
97;3;0;0;0;0;0;0;0;3,00;0,00
97;2;1;0;0;0;0;0;0;2,00;0,00
97;1,5;0,0;1,5;0;0;0;0;0;1,50;1,50
95;5;0;0;0;0;0;0;0;5,00;0,00
95;3,3;1,7;0;0;0;0;0;0;3,30;0,00
95;2,5;0,0;2,5;0;0;0;0;0;2,50;2,50
93;7;0;0;0;0;0;0;0;7,00;0,00
93;4,7;2,3;0;0;0;0;0;0;4,70;0,00
93;3,5;0;3,5;0;0;0;0;0;3,50;3,50
90;10;0;0;0;0;0;0;0;10,00;0,00
90;0;0;0;0;0;0;0;0;0,00;0,00
90;0;0;0;0;0;0;0;0;0,00;0,00
88;12;0;0;0;0;0;0;0;12,00;0,00
88;8;4;0;0;0;0;0;0;8,00;0,00
88;6;0;6;0;0;0;0;0;6,00;6,00
86;14;0;0;0;0;0;0;0;14,00;0,00
86;9,4;4,6;0;0;0;0;0;0;9,40;0,00
86;7;0;7;0;0;0;0;0;7,00;7,00
97;1,5;0,8;0,8;0,0;0,0;0,0;0,0;0,0;1,50;0,75
95;2,5;1,3;1,3;0,0;0,0;0,0;0,0;0,0;2,50;1,25
90;5,0;2,5;2,5;0,0;0,0;0,0;0,0;0,0;5,00;2,50
97;1,5;0,8;0,0;0,0;0,0;0,0;0,0;0,8;1,50;0,80
95;2,5;1,3;0,0;0,0;0,0;0,0;0,0;1,3;2,50;1,30
90;5,0;2,5;0,0;0,0;0,0;0,0;0,0;2,5;5,00;2,50
97;0,0;0,0;0,0;3;0,0;0,0;0,0;0,0;0,00;3,00
97;0,0;1;0,0;2;0,0;0,0;0,0;0,0;0,00;2,00
95;0,0;0,0;0,0;5;0,0;0,0;0,0;0,0;0,00;5,00
95;0,0;1,7;0,0;3,3;0,0;0,0;0,0;0,0;0,00;3,30
90;0,0;0,0;0,0;10;0,0;0,0;0,0;0,0;0,00;10,00
90;0,0;2,5;0,0;7,5;0,0;0,0;0,0;0,0;0,00;7,50
93;0;3,5;0;0;3,5;0;0;0;0,00;3,50
93;0;3,5;0;0;1,8;0;1,8;0;1,75;1,75
93;0;3,5;0;0;1,8;1,8;0;0;1,80;1,80
90;0;5,0;0;0;5,0;0;0;0;0,00;5,00
90;0;5,0;0;0;2,5;0;2,5;0;2,50;2,50
90;0;5,0;0;0;2,5;2,5;0,0;0,0;2,50;2,50
97;0;1,5;0,0;0,0;0,0;0,0;0,0;1,5;0,00;1,50
95;0;2,5;0,0;0,0;0,0;0,0;0,0;2,5;0,00;2,50
90;0;5,0;0,0;0,0;0,0;0,0;0,0;5,0;0,00;5,00
97;1,2;0,6;1,2;0,0;0,0;0,0;0,0;0,0;1,20;1,20
95;2,0;1,0;2,0;0,0;0,0;0,0;0,0;0,0;2,00;2,00
90;5,0;2,5;2,5;0,0;0,0;0,0;0,0;0,0;5,00;2,50
95;0;0;0;0;0;0;0;0;0,00;0,00
95;0;0;0;0;0;0;0;0;0,00;0,00
97;2,0;0,0;1,0;0;0;0;0;0;2,00;1,00
95;3,3;0,0;1,7;0;0;0;0;0;3,30;1,70
93;4,7;0;2,3;0;0;0;0;0;4,70;2,30
90;6,7;0;3,3;0;0;0;0;0;6,70;3,30
97;1,5;1,5;0;0;0;0;0;0;1,50;0,00
95;2,5;2,5;0;0;0;0;0;0;2,50;0,00
93;3,5;3,5;0;0;0;0;0;0;3,50;0,00
90;5,0;5,0;0;0;0;0;0;0;5,00;0,00
97;1,5;0,0;0,0;0,0;0,0;0,0;0,0;1,5;1,50;1,50
95;2,5;0,0;0,0;0,0;0,0;0,0;0,0;2,5;2,50;2,50
93;3,5;0,0;0,0;0,0;0,0;0,0;0,0;3,5;3,50;3,50
90;5,0;0,0;0,0;0,0;0,0;0,0;0,0;5,0;5,00;5,00
97;2,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;2,00;1,00
95;3,3;0,0;0,0;0,0;0,0;0,0;0,0;1,7;3,30;1,70
93;4,7;0,0;0,0;0,0;0,0;0,0;0,0;2,3;4,70;2,30
90;6,7;0,0;0,0;0,0;0,0;0,0;0,0;3,3;6,70;3,30
